symbol,exchange,name,sector,industry,slug
IPGP-RM,MCX,IPG Photonics,Information Technology,"Electronic Equipment, Instruments & Components",ipg-photonics-corp.?cid=1180689
IQV-RM,MCX,IQVIA Holdings,Healthcare,Life Sciences Tools & Services,quintis-trl-hlgs?cid=1179763
IRGZ,MCX,Irkutskenergo,Utilities,Electric Utilities,irkutskenergo
IGST,MCX,Izhstal,Materials,Metals & Mining,izhstal
IGST_p,MCX,Izhstal Pref,Materials,Metals & Mining,izhstal-(pref)
JNJ-RM,MCX,J&J,Healthcare,Pharmaceuticals,johnson-johnson?cid=1169911
JKHY-RM,MCX,Jack Henry&Associates,Information Technology,IT Services,jack-henry---asso?cid=1180690
J-RM,MCX,Jacobs Engineering,Industrials,Professional Services,jacobs-engineer?cid=1177327
JBHT-RM,MCX,JB Hunt,Industrials,Road & Rail,j.b.-hunt-transpo?cid=1180830
JD-RMDR,MCX,JD.com Inc Adr,Consumer Discretionary,Internet & Direct Marketing Retail,jd.com-inc-adr?cid=1177904
JEF-RM,MCX,Jefferies Financial,Financial,Capital Markets,leucadia-natl?cid=1183173
SJM-RM,MCX,JM Smucker,Consumer Staples,Food Products,jm-smucker-co?cid=1179758
JPM-RM,MCX,JPMorgan,Financial,Banks,jp-morgan-chase?cid=1177326
JNPR-RM,MCX,Juniper,Information Technology,Communications Equipment,juniper-networks-inc?cid=1178095
KLSB,MCX,Kaluzhsk Sbytovaya,Utilities,Independent Power and Renewable Electricity Producers,kaluga-power-sale-comp
KMAZ,MCX,KAMAZ,Industrials,Machinery,kamaz
KCHE,MCX,Kamchatskenergo,Utilities,Electric Utilities,kamchatskenergo
KCHE_p,MCX,Kamchatskenergo Pref,Utilities,Electric Utilities,kamchatskenergo-(pref)
KPMOI,MCX,Kazanskoye Motoros,Industrials,Electrical Equipment,kazanskoye-motoros-proizvod
K-RM,MCX,Kellogg,Consumer Staples,Food Products,kellogg-co.?cid=1177915
KDP-RM,MCX,Keurig Dr Pepper,Consumer Staples,Beverages,dr-pepper-snapple?cid=1180831
KEY-RM,MCX,KeyCorp,Financial,Banks,keycorp-new?cid=1177328
KEYS-RM,MCX,Keysight Technologies,Information Technology,"Electronic Equipment, Instruments & Components",keysight-technologies?cid=1179762
KGKC,MCX,KGK,Utilities,Water Utilities,kurganskaya-generiruyushchaya-komp
KGKC_p,MCX,KGK Pref,Utilities,Water Utilities,kurganskaya-generiruyushchaya-pref
HIMC,MCX,Khimprom,Materials,Chemicals,khimprom
HIMC_p,MCX,Khimprom Pref,Materials,Chemicals,khimprom-(pref)
KMB-RM,MCX,Kimberly-Clark,Consumer Staples,Household Products,kimberly-clark?cid=1177330
KMI-RM,MCX,Kinder Morgan,Energy,"Oil, Gas & Consumable Fuels",kinder-morgan?cid=1177331
KKR-RM,MCX,KKR & Co,Financial,Capital Markets,kkr---co-lp?cid=1184160
KLAC-RM,MCX,KLA-Tencor,Information Technology,Semiconductors & Semiconductor Equipment,kla-tencor-corp?cid=1177329
UNKL,MCX,Kombinat Yuzhuralnikel' OAO,Materials,Metals & Mining,kombinat-yuzhuralnikel-oao
KOPN-RM,MCX,Kopin,Information Technology,Semiconductors & Semiconductor Equipment,kopin-corp?cid=1183810
VSMO,MCX,Korporatsiya VSMPO AVISMA PAO,Materials,Metals & Mining,vsmpo-avisma-crp_rts
KOGK,MCX,Korshunovskii GOK,Materials,Metals & Mining,korshynov-mining-plant
KMEZ,MCX,Kovrovskiy Mekhanicheskiy,Industrials,Machinery,kovrovskiy-mekhanicheskiy
KHC-RM,MCX,Kraft Heinz,Consumer Staples,Food Products,kraft-foods-inc?cid=1168229
KRSB,MCX,Krasnoyarskenergosbyt,Utilities,Electric Utilities,krasnoyarskenergosbyt
KRSB_p,MCX,Krasnoyarskenergosbyt Pref,Utilities,Electric Utilities,krasnoyarskenergosbyt-(pref)
KROT,MCX,Krasnyi Oktyabr,Consumer Staples,Food Products,krasnyj-octyabr-co.
KROT_p,MCX,Krasnyi Oktyabr pref,Consumer Staples,Food Products,krasnyj-octyabr-co.-(pref)
KR-RM,MCX,Kroger,Consumer Staples,Food & Staples Retailing,kroger-co?cid=1172668
KTSB,MCX,KSB PAO,Utilities,Electric Utilities,kostroma-retail-company
KTSB_p,MCX,KSB PAO Pref,Utilities,Electric Utilities,kostroma-retail-company-(pref)
KUBE,MCX,KubanEnrg,Utilities,Electric Utilities,kubanenergo-oao
KAZT_p,MCX,Kuibishevazot Pref,Materials,Chemicals,kuibyshevazot-(pref)
KAZT,MCX,KuybyshevAzot,Materials,Chemicals,kuibyshevazot
TGKD,MCX,Kvadra Generiruyushchaya Kompaniya PAO,Utilities,Electric Utilities,quadra---power-generation
TGKD_p,MCX,Kvadra Generiruyushchaya Kompaniya PAO Prf,Utilities,Electric Utilities,quadra---power-generation-(pref)
KD-RM,MCX,Kyndryl Holdings,Information Technology,IT Services,kyndryl-holdings?cid=1180691
LHX-RM,MCX,L3Harris Technologies,Industrials,Aerospace & Defense,harris-corporation?cid=1179750
LH-RM,MCX,Laboratory America,Healthcare,Health Care Providers & Services,laboratory-corp-of-amer?cid=1180832
LRCX-RM,MCX,Lam Research,Information Technology,Semiconductors & Semiconductor Equipment,lam-research-corp?cid=1172671
LW-RM,MCX,Lamb Weston Holdings,Consumer Staples,Food Products,lamb-weston-holdings-inc?cid=1179752
LVS-RM,MCX,Las Vegas Sands,Consumer Discretionary,"Hotels, Restaurants & Leisure",las-vegas-sands?cid=1177889
LSCC-RM,MCX,Lattice,Information Technology,Semiconductors & Semiconductor Equipment,lattice-semiconductor?cid=1185545
LEG-RM,MCX,Leggett&Platt,Consumer Discretionary,Household Durables,leggett---platt?cid=1177332
LDOS-RM,MCX,Leidos,Industrials,Professional Services,leidos-holdings?cid=1179774
LSNG_p,MCX,Lenenergo Pref,Utilities,Electric Utilities,lenenergo-(pref)
LSNG,MCX,LenEnrg,Utilities,Electric Utilities,lenenergo
LEN-RM,MCX,Lennar,Consumer Discretionary,Household Durables,lennar?cid=1178127
LNTADR,MCX,Lenta Ltd,Consumer Staples,Food & Staples Retailing,lenta-ltd?cid=962408
LNZL,MCX,Lenzoloto PAO,Materials,Metals & Mining,lenzoloto-oao
LNZL_p,MCX,Lenzoloto PAO Prf,Materials,Metals & Mining,lenzoloto-oao-pref
LVHK,MCX,Levenguk OAO,Information Technology,"Electronic Equipment, Instruments & Components",levenguk-oao
LI-RMDR,MCX,Li Auto,Consumer Discretionary,Automobiles,li-auto-inc?cid=1177900
LNC-RM,MCX,Lincoln National,Financial,Insurance,lincoln-natl?cid=1177886
LPSB,MCX,Lipetskaya energosbytovaya,Utilities,Electric Utilities,lipetsk-power-sale-comp
LYV-RM,MCX,Live Nation Entertainment,Communication Services,Entertainment,live-nation-entertainment-inc?cid=1178139
LTHM-RM,MCX,Livent,Materials,Chemicals,livent-corp?cid=1177361
LKQ-RM,MCX,LKQ,Consumer Discretionary,Distributors,lkq?cid=1179707
LMT-RM,MCX,Lockheed Martin,Industrials,Aerospace & Defense,lockheed-martin?cid=1172689
L-RM,MCX,Loews,Financial,Insurance,loews-corporation?cid=1179765
RIDE-RM,MCX,Lordstown Motors,Consumer Discretionary,Automobiles,diamondpeak-holdings-corp?cid=1180700
LPX-RM,MCX,Louisiana-Pacific,Materials,Paper & Forest Products,louisiana-pacific?cid=1183184
LOW-RM,MCX,Lowe’s,Consumer Discretionary,Specialty Retail,lowes-companies?cid=1172670
LKOH,MCX,Lukoil,Energy,"Oil, Gas & Consumable Fuels",lukoil_rts
LULU-RM,MCX,Lululemon Athletica,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",lululemon-athletica?cid=1185544
LUMN-RM,MCX,Lumen Technologies,Communication Services,Diversified Telecommunication Services,centurylink?cid=1174092
LAZR-RM,MCX,Luminar Tech,Consumer Discretionary,Auto Components,gores-metropoulos-inc?cid=1180692
