symbol,exchange,name,sector,industry,slug
PALG,XETRA,Pantaflix,Communication Services,Entertainment,pantaleon-entertainment-ag
PGNG,XETRA,Paragon AG,Consumer Discretionary,Auto Components,paragon-ag
PATGn,XETRA,Patrizia Immobilien,Real Estate,Real Estate Management & Development,patrizia-immobilien-ag
2PP,XETRA,PayPal Holdings Inc,Information Technology,IT Services,paypal-holdings-inc?cid=963685
PEP,XETRA,PepsiCo,Consumer Staples,Beverages,pepsico?cid=29573
O2C,XETRA,Petro Welt Tech,Energy,Energy Equipment & Services,cat-oil-ag
PV,XETRA,Pfeiffer,Industrials,Machinery,pfeiffer-vacuum?cid=22500
EMHn,XETRA,Pferdewetten de,Consumer Discretionary,"Hotels, Restaurants & Leisure",pferdewetten-de-ag
PFE,XETRA,Pfizer,Healthcare,Pharmaceuticals,pfizer?cid=29540
PSGG,XETRA,Pharmasgp,Healthcare,Pharmaceuticals,pharmasgp-holding-se
PH6,XETRA,Philion,Consumer Discretionary,Specialty Retail,philion
PHI1,XETRA,Philips,Healthcare,Health Care Equipment & Supplies,philips-kon?cid=963251
P4OG,XETRA,Plan Optik,Information Technology,Semiconductors & Semiconductor Equipment,plan-optik-ag
PLUN,XETRA,Plug Power,Industrials,Electrical Equipment,plug-power?cid=1167505
PNEGn,XETRA,PNE Wind AG,Industrials,Electrical Equipment,pne-wind-ag
PSHG_p,XETRA,Porsche,Consumer Discretionary,Automobiles,porsche?cid=1073868
PAGn,XETRA,PREOS Global Office,Real Estate,Equity Real Estate Investment Trusts (REITs),preos-global-office-re-tech
PDAG,XETRA,Pro DV,Information Technology,IT Services,pro-dv-ag
PCZ,XETRA,ProCredit Holding,Financial,Banks,procredit-holding-ag---co-kgaa
PG,XETRA,Procter&Gamble,Consumer Staples,Household Products,procter-gamble?cid=29578
PWOG,XETRA,Progress Werk Oberkirch,Consumer Discretionary,Auto Components,progress-werk-oberkirch-ag?cid=962938
PSMGn,XETRA,Prosiebensat,Communication Services,Media,pro-sieben?cid=6297
PSAGn,XETRA,PSI AG,Information Technology,Software,psi-ag
PBYG,XETRA,Publity,Real Estate,Real Estate Management & Development,publity-ag
PUMG,XETRA,Puma SE,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",puma-se-cfd?cid=23613
TPEG,XETRA,PVA Tepla AG,Information Technology,Semiconductors & Semiconductor Equipment,pva-tepla-ag
M3Bk,XETRA,Pyramid,Information Technology,"Technology Hardware, Storage & Peripherals",mic-ag
QBYn,XETRA,q.beyond,Information Technology,IT Services,qsc
QIA,XETRA,Qiagen,Healthcare,Life Sciences Tools & Services,qiagen?cid=23528
690D,XETRA,Qingdao Haier,Consumer Discretionary,Household Durables,qingdao-haier-co
QCOM,XETRA,Qualcomm,Information Technology,Semiconductors & Semiconductor Equipment,qualcomm-inc?cid=963389
QB7G,XETRA,Quirin Privatbank,Financial,Money Center Banks,quirin-bank?cid=1176383
RSL2,XETRA,R. Stahl AG,Industrials,Machinery,r.-stahl-ag
RBIV,XETRA,Raiffeisen Bank,Financial,Banks,raiffeisen-int?cid=963373
RAAG,XETRA,Rational AG,Industrials,Machinery,rational-ag?cid=23066
5UR,XETRA,Raytheon Technologies,Industrials,Aerospace & Defense,united-tech?cid=29563
RCMN,XETRA,Rcm Beteiligungs,Real Estate,Real Estate Management & Development,rcm-beteiligungs-ag
RTCG,XETRA,Realtech AG,Information Technology,IT Services,realtech-ag
RB,XETRA,Reckitt Benckiser,Consumer Staples,Household Products,reckitt-benckiser?cid=963403
RENA,XETRA,Renault,Consumer Discretionary,Automobiles,renault?cid=963321
REP,XETRA,Repsol,Energy,"Oil, Gas & Consumable Fuels",repsol-ypf?cid=963002
RHMG,XETRA,Rheinmetall AG,Industrials,Aerospace & Defense,rheinmetall?cid=1073870
RHKG,XETRA,Rhoen-Klinikum,Healthcare,Health Care Providers & Services,rhoen-klinikum?cid=1073869
RIB,XETRA,RIB Software AG,Information Technology,Software,rib-software-ag
HP3An,XETRA,Ringmetall SE,Industrials,Machinery,hpi-holding-ag
RIO,XETRA,Rio Tinto PLC,Materials,Metals & Mining,rio-tinto?cid=29514
RBAV,XETRA,Rosenbauer,Industrials,Machinery,rosenbauer?cid=1056286
RY8,XETRA,Roy Ceramics,Industrials,Constr. - Supplies & Fixtures,roy-ceramics-ag-de?cid=1176384
RRTL,XETRA,RTL Group,Communication Services,Media,rtl-group-lu?cid=41032
RWEG,XETRA,RWE AG ST,Utilities,Independent Power and Renewable Electricity Producers,rwe-st-a?cid=23310
RYA,XETRA,Ryanair,Industrials,Airlines,ryanair-holdings-exch?cid=960690
SIAG,XETRA,S Immo Ag,Real Estate,Real Estate Management & Development,s-immo-ag?cid=963647
SFQ,XETRA,SAF Holland,Consumer Discretionary,Auto Components,saf-holland
SGOB,XETRA,Saint Gobain,Industrials,Building Products,saint-gobain?cid=1056290
FOO,XETRA,Salesforce.com,Information Technology,Software,salesforce-com?cid=963503
SZGG,XETRA,Salzgitter AG,Materials,Metals & Mining,salzgitter?cid=1073872
SASY,XETRA,Sanofi,Healthcare,Pharmaceuticals,sanofi-aventis?cid=29462
SAN,XETRA,Santander,Financial,Banks,banco-santander?cid=29479
SAPG,XETRA,SAP,Information Technology,Software,sap-ag?cid=23532
SATG,XETRA,Sartorius AG,Healthcare,Health Care Equipment & Supplies,sartorius-ag-st?cid=962945
SATG_p,XETRA,Sartorius AG VZO,Healthcare,Health Care Equipment & Supplies,sartorius-ag-vz
SHA_p,XETRA,Schaeffler Pref,Consumer Discretionary,Auto Components,schaeffler-ag
SLTG,XETRA,Schaltbau,Industrials,Machinery,schaltbau-holding-ag
PZSG,XETRA,Scherzer,Financial,Diversified Financial Services,scherzer-co-ag
SWAG,XETRA,Schloss Wachenheim,Consumer Staples,Beverages,schloss-wachenheim-ag
SCHN,XETRA,Schneider Electric,Industrials,Electrical Equipment,schneider-electr?cid=29454
SBOE,XETRA,Schoeller-Bleckmann AG,Energy,Energy Equipment & Services,schoeller-bleck?cid=1056288
SWEGn,XETRA,Schweizer Electronic,Information Technology,"Electronic Equipment, Instruments & Components",schweizer-electronic-ag
G24n,XETRA,Scout24 AG,Communication Services,Interactive Media & Services,scout24-ag
75Sn,XETRA,Sdm SE,Industrials,Commercial Services & Supplies,sdm-se
YSNG,XETRA,Secunet AG,Information Technology,IT Services,secunet-security-networks-ag
SJJG,XETRA,Serviceware,Information Technology,Software,serviceware-se
T3T1k,XETRA,Seven Principles AG,Information Technology,IT Services,seven-principles-ag?cid=963040
F3CG,XETRA,SFC Energy AG,Industrials,Electrical Equipment,sfc-energy-ag
SGCG,XETRA,SGL Carbon SE,Industrials,Electrical Equipment,sgl-carbon?cid=1073871
SHVA,XETRA,Shareholder Value Beteiligungen AG,Financial,Capital Markets,shareholder-value-beteiligungen-ag
R6C0,XETRA,Shell,Energy,"Oil, Gas & Consumable Fuels",royal-dutch-shell-a-shr?cid=963247
SAEG,XETRA,Shop Apotheke Europe,Consumer Staples,Food & Staples Retailing,shop-apotheke-europe-nv
SHSGk,XETRA,SHS Viveon,Information Technology,Software & Programming,shs-viveon-ag?cid=1176386
SW1,XETRA,SHW AG,Consumer Discretionary,Auto Components,shw-ag
SIEGn,XETRA,Siemens AG,Industrials,Industrial Conglomerates,siemens?cid=23201
ENR1n,XETRA,Siemens Energy AG,Industrials,Electrical Equipment,siemens-energy-ag?cid=1177366
SHLG,XETRA,Siemens Healthineers,Healthcare,Health Care Equipment & Supplies,siemens-healthineers-ag
